Wavelength_nm,Parans 54m,Parans 25m,Fluorescent lamp FL5,Cool white LED,Warm white LED,Daylight through glass,Unfiltered daylight
524,0.947103116,0.9595008690000001,0.26908699999999997,0.48022200000000004,0.606233,0.9565432081999999,0.9569366
525,0.9426042029999999,0.95452769,0.269136,0.487839,0.610366,0.9622336499999999,0.960983
526,0.9321823509999999,0.9436693909999999,0.2700684,0.49417700000000003,0.6152352,0.9679240917999999,0.9687864
527,0.925982168,0.9368779979999999,0.2710008,0.500515,0.6201044,0.9736145335999999,0.9765898000000001
528,0.949358873,0.9587645220000001,0.2719332,0.506853,0.6249735999999999,0.9793049754,0.9843932
529,0.9716013990000001,0.980520768,0.2728656,0.5131910000000001,0.6298427999999999,0.9849954172000001,0.9921966
530,0.987265682,0.9955989059999999,0.273798,0.519529,0.6347119999999999,0.9906858590000001,1.0
531,0.9820988629999999,0.9898780490000001,0.2756626,0.5250532,0.6398102,0.9862691063000001,0.9953758
532,0.977171482,0.9841571929999999,0.2775272,0.5305774,0.6449083999999999,0.9818523536,0.9907516000000001
533,0.973472795,0.9806793659999999,0.2793918,0.5361016000000001,0.6500066,0.9774356009,0.9861274
534,0.9756718440000001,0.9823389809999999,0.2812564,0.5416258,0.6551047999999999,0.9730188482000001,0.9815032
535,0.9870388459999999,0.9931463009999999,0.283121,0.54715,0.660203,0.9686020955000001,0.976879
536,0.9899121009999999,0.995689533,0.2859668,0.5503168,0.6658508,0.9641853428000001,0.9745668000000001
537,0.990832047,0.996374903,0.28881260000000003,0.5534836000000001,0.6714986,0.9597685901,0.9722546000000001
538,0.979383132,0.984242156,0.2916584,0.5566504,0.6771464,0.9553518374000001,0.9699424
539,0.971343058,0.976210301,0.2945042,0.5598172,0.6827942,0.9509350847,0.9676302
540,0.9670898840000001,0.9713957190000001,0.29735,0.562984,0.688442,0.946518332,0.965318
541,0.9652751959999999,0.969130033,0.37419020000000003,0.567218,0.6921578,0.9470625338,0.9699422
542,0.9731766479999999,0.9768390290000001,0.4510304,0.571452,0.6958736,0.9476067356,0.9745663999999999
543,0.983573296,0.9863888940000001,0.5278706,0.575686,0.6995894,0.9481509374,0.9791906
544,0.9881982290000001,0.9908522940000001,0.6047108,0.57992,0.7033052,0.9486951392,0.9838148
545,0.995973662,0.998283743,0.681551,0.584154,0.707021,0.949239341,0.988439
